236	C-45FD9DD4,Pacific Rim International Conference on Artificial Intelligence	6	110
502	C-42EE09CD,Computational Intelligence in Robotics and Automation	6	94
364	C-43F3EBCF,Pacific Conference on Computer Graphics and Applications	6	60
333	C-446908FE,Cooperative Information Systems	6	55
474	C-45F753AE,High-Assurance Systems Engineering	6	42
731	C-453FBF5D,Visual Analytics Science and Technology	6	36
147	C-47CCD465,Uncertainty in Artificial Intelligence	6	33
655	C-43DA00C9,Databases in Networked Information Systems	6	28
57	C-453CB501,International Conference on Computer Vision Systems	6	27
436	C-46B1CCD7,Information Technology Interfaces	6	21
150	C-470F8BDC,Database Programming Languages	6	20
337	C-472461FB,Distributed Systems: Operations and Management	6	18
724	C-46F1CA07,Pattern Recognition in Information Systems	6	15
653	C-4321CC25,Conference on Intelligent Text Processing and Computational Linguistics	6	15
510	C-4413E269,European Conference on Genetic Programming	6	13
170	C-463119A6,Computational Learning Theory	6	13
558	C-46EC7D07,Data Warehousing and OLAP	6	9
103	C-47987D60,International Conference on Reliable Software Technologies	6	7
270	C-448D1E7E,International Conference on Document Analysis and Recognition	5	186
276	C-45483BED,International Work-Conference on Artificial and Natural Neural Networks	5	100
266	C-452ACCB8,Integrated Network Management	5	73
327	C-44359895,Computer Analysis of Images and Patterns	5	69
271	C-43E7F2AC,International Conference on Image Analysis and Processing	5	62
459	C-447034A1,Virtual Systems and MultiMedia	5	43
18	C-45CEC493,Symposium on Operating Systems Principles	5	40
209	C-448B966A,Workshop on Algorithms and Data Structures	5	38
508	C-44376BCB,Energy Minimization Methods in Computer Vision and Pattern Recognition	5	35
714	C-45876312,International Conference on Knowledge Capture	5	34
354	C-474EAFD5,International Symposium on Autonomous Decentralized Systems	5	26
532	C-44612919,Microelectronics Systems Education	5	23
699	C-45C7E457,Design of Reliable Communication Networks	5	23
488	C-462FCD74,Machine Learning and Data Mining in Pattern Recognition	5	22
442	C-433DE719,International Conference on Evolvable Systems	5	21
386	C-444C7E0A,Distributed Multimedia Systems	5	20
697	C-47C2A24C,Autonomous Minirobots for Research and Edutainment	5	20
439	C-45A86DF6,International Conference on Case-Based Reasoning	5	19
288	C-4791FE57,Workshop on Applications of Signal Processing to Audio and Acoustics	5	19
435	C-4472F8CF,IEEE Symposium on Information Visualization	5	15
343	C-470B5A7A,Graph Drawing	5	13
505	C-43277916,Cooperative Information Agents	5	11
68	C-439E313A,Conference on Automated Deduction	5	10
491	C-45A12B87,Prague Stringology Conference	5	7
362	C-4761B00F,New Security Paradigms Workshop	5	7
567	C-4457BAFF,Foundations of Software Science and Computation Structure	5	6
